  [Epoch 02/12] Batch 0550/1918 | Loss: 1.6284 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0600/1918 | Loss: 1.6295 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0650/1918 | Loss: 1.6256 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0700/1918 | Loss: 1.6204 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0750/1918 | Loss: 1.6128 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0800/1918 | Loss: 1.6057 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0850/1918 | Loss: 1.6057 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0900/1918 | Loss: 1.6024 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0950/1918 | Loss: 1.6018 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1000/1918 | Loss: 1.5974 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1050/1918 | Loss: 1.5973 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1100/1918 | Loss: 1.5964 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1150/1918 | Loss: 1.5966 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1200/1918 | Loss: 1.5973 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1250/1918 | Loss: 1.5945 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1300/1918 | Loss: 1.5943 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1350/1918 | Loss: 1.5963 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1400/1918 | Loss: 1.5967 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1450/1918 | Loss: 1.5967 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1500/1918 | Loss: 1.5961 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1550/1918 | Loss: 1.5937 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1600/1918 | Loss: 1.5941 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1650/1918 | Loss: 1.5960 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1700/1918 | Loss: 1.5959 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1750/1918 | Loss: 1.5948 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1800/1918 | Loss: 1.5938 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1850/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1900/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 1918/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04

>>> [EPOCH 02/12] COMPLETE | Avg Loss: nan | Time: 19.0 min | LR: 5.00e-04
  [Epoch 03/12] Batch 0050/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0100/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0150/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0200/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0250/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0300/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0350/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0400/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0450/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0500/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0550/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0600/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0650/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0700/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0750/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 03/12] Batch 0800/1918 | Loss: nan | VRAM: 0.48 GB | LR: 5.00e-04
